BSSID,First time seen,Last time seen,channel,Speed,Privacy,Cipher,Authentication,Power,# beacons,# IV,LAN IP,ID-length,ESSID,Key
40:0D:10:29:10:B1, 2023-11-07 14:11:42, 2023-11-07 14:22:04,  6, 130, WPA2, CCMP, PSK,-76.0,2.0,0.0,   0.  0.  0.  0,11.0, VTR-7103924, 
54:52:84:52:E0:00, 2023-11-07 14:11:42, 2023-11-07 14:29:04,  6, 270, WPA2 WPA, CCMP, PSK,-75.0,13.0,0.0,   0.  0.  0.  0,7.0, PERFECT, 
C4:69:F0:C9:CF:64, 2023-11-07 14:11:42, 2023-11-07 14:37:55,  6, 400, WPA2 WPA, CCMP, PSK,-74.0,51.0,0.0,   0.  0.  0.  0,8.0, Dpto 603, 
2C:96:82:75:46:20, 2023-11-07 14:11:43, 2023-11-07 14:14:32,  1, 720, WPA2, CCMP, PSK,-78.0,2.0,0.0,   0.  0.  0.  0,19.0, MOVISTAR-WIFI6-4620, 
3C:A3:7E:71:EF:23, 2023-11-07 14:11:46, 2023-11-07 14:15:57,  6, 360, WPA2 WPA, CCMP TKIP, PSK,-77.0,15.0,0.0,   0.  0.  0.  0,0.0, , 
A4:17:8B:99:4D:2B, 2023-11-07 14:11:46, 2023-11-07 14:38:38,  6, 360, WPA2 WPA, CCMP TKIP, PSK,-67.0,65.0,4.0,   0.  0.  0.  0,0.0, , 
AA:2E:08:22:1F:3D, 2023-11-07 14:11:46, 2023-11-07 14:38:39, 12, 180, WPA2, CCMP, PSK,-72.0,328.0,4.0,   0.  0.  0.  0,14.0, Redmi Note 10S, 
50:6F:0C:33:34:3B, 2023-11-07 14:11:46, 2023-11-07 14:18:54,  1, 260, WPA2, CCMP, PSK,-71.0,18.0,0.0,   0.  0.  0.  0,11.0, LIB-2033451, 
4C:0D:14:CF:7B:2F, 2023-11-07 14:11:49, 2023-11-07 14:38:27, 11,  54, WPA2 WPA, CCMP TKIP, PSK,-78.0,62.0,0.0,   0.  0.  0.  0,14.0, W00_1060620120, 
18:35:D1:42:17:39, 2023-11-07 14:11:50, 2023-11-07 14:38:39,  1, 130, WPA2, CCMP, PSK,-68.0,15.0,0.0,   0.  0.  0.  0,11.0, VTR-5137896, 
44:48:B9:44:4D:F8, 2023-11-07 14:11:57, 2023-11-07 14:37:31,  1, 130, WPA2, CCMP, PSK,-69.0,15.0,0.0,   0.  0.  0.  0,12.0, Dentiven 2.4, 
68:E2:09:7D:38:64, 2023-11-07 14:12:00, 2023-11-07 14:36:54, 11, 130, WPA2 WPA, CCMP, PSK,-80.0,18.0,9.0,   0.  0.  0.  0,27.0, CASACUBILLOSVARGAS_ONT_2.4G, 
A4:17:8B:98:E4:50, 2023-11-07 14:12:01, 2023-11-07 14:19:04,  1, 400, WPA2 WPA, CCMP, PSK,-70.0,7.0,3.0,   0.  0.  0.  0,7.0, PERFECT, 
B4:09:31:5C:37:68, 2023-11-07 14:12:05, 2023-11-07 14:34:52,  6, 130, WPA2, CCMP, PSK,-67.0,57.0,0.0,   0.  0.  0.  0,11.0, HUAWEI 8XwS, 
C4:69:F0:CF:F1:67, 2023-11-07 14:12:11, 2023-11-07 14:24:24,  6, 360, WPA2 WPA, CCMP TKIP, PSK,-63.0,5.0,9.0,   0.  0.  0.  0,0.0, , 
04:95:E6:E2:F4:40, 2023-11-07 14:12:17, 2023-11-07 14:33:32,  4, 270, WPA2, CCMP, PSK,-81.0,7.0,0.0,   0.  0.  0.  0,12.0, Tenda_E2F440, 
18:35:D1:86:B7:41, 2023-11-07 14:12:18, 2023-11-07 14:13:12,  6, 130, WPA2, CCMP, PSK,-68.0,6.0,0.0,   0.  0.  0.  0,11.0, VTR-1093396, 
44:48:B9:49:5C:70, 2023-11-07 14:12:21, 2023-11-07 14:38:03,  6, 130, WPA2, CCMP, PSK,-74.0,34.0,0.0,   0.  0.  0.  0,15.0, Centro Casperia, 
68:E2:09:DF:D8:30, 2023-11-07 14:12:22, 2023-11-07 14:12:55,  6, 130, WPA2 WPA, CCMP, PSK,-71.0,2.0,0.0,   0.  0.  0.  0,3.0, 602, 
C0:05:C2:E1:87:79, 2023-11-07 14:12:26, 2023-11-07 14:38:35,  1, 130, WPA2, CCMP, PSK,-67.0,23.0,0.0,   0.  0.  0.  0,11.0, VTR-7671744, 
E4:57:40:DF:D7:FA, 2023-11-07 14:12:36, 2023-11-07 14:18:14,  6, 130, WPA2, CCMP, PSK,-79.0,10.0,0.0,   0.  0.  0.  0,11.0, VTR-8000862, 
88:DE:7C:4B:00:8F, 2023-11-07 14:12:37, 2023-11-07 14:12:37,  1, 130, WPA2, CCMP, PSK,-82.0,1.0,0.0,   0.  0.  0.  0,11.0, Mujerysalud, 
68:FF:7B:49:7E:1D, 2023-11-07 14:12:43, 2023-11-07 14:12:43, 11, 130, WPA2, CCMP TKIP, PSK,-81.0,0.0,0.0,   0.  0.  0.  0,7.0, Quetzal, 
48:D3:43:3D:3C:01, 2023-11-07 14:12:47, 2023-11-07 14:37:30,  6, 130, WPA2, CCMP, PSK,-74.0,9.0,0.0,   0.  0.  0.  0,11.0, VTR-8642369, 
48:2C:D0:0C:E7:34, 2023-11-07 14:12:54, 2023-11-07 14:12:54,  6, 130, WPA2 WPA, CCMP, PSK,-80.0,1.0,0.0,   0.  0.  0.  0,8.0, 219_Wifi, 
D0:F3:F5:C9:29:81, 2023-11-07 14:12:58, 2023-11-07 14:12:58,  6, 270, WPA2, CCMP, PSK,-77.0,1.0,0.0,   0.  0.  0.  0,0.0, , 
68:59:11:E9:C8:A8, 2023-11-07 14:12:58, 2023-11-07 14:37:13,  1, 270, WPA2, CCMP, PSK,-70.0,14.0,1.0,   0.  0.  0.  0,9.0, fh_e9c8a8, 
74:93:DA:5C:1D:2F, 2023-11-07 14:13:01, 2023-11-07 14:35:25,  6, 720, WPA2, CCMP, PSK,-74.0,26.0,0.0,   0.  0.  0.  0,19.0, MOVISTAR-WIFI6-1D20, 
3C:A3:7E:71:EF:20, 2023-11-07 14:13:12, 2023-11-07 14:22:57,  6, 400, WPA2 WPA, CCMP, PSK,-75.0,2.0,0.0,   0.  0.  0.  0,14.0, Depto 202 2.4G, 
00:35:1A:1D:68:C2, 2023-11-07 14:13:23, 2023-11-07 14:15:00,  1, 195, OPN, ,   ,-81.0,1.0,0.0,   0.  0.  0.  0,7.0, visitas, 
C4:0D:96:36:37:70, 2023-11-07 14:13:26, 2023-11-07 14:13:26, 11,  -1, WPA, ,   ,-79.0,0.0,1.0,   0.  0.  0.  0,0.0, , 
2C:96:82:4E:A4:D8, 2023-11-07 14:13:37, 2023-11-07 14:32:32, 11, 720, WPA2, CCMP, PSK,-77.0,5.0,0.0,   0.  0.  0.  0,9.0, PANCURITA, 
AE:AE:19:0A:95:ED, 2023-11-07 14:13:41, 2023-11-07 14:13:41,  6,  65, WPA2, CCMP, PSK,-71.0,1.0,0.0,   0.  0.  0.  0,0.0, , 
48:D3:43:BD:CF:F1, 2023-11-07 14:13:48, 2023-11-07 14:16:44,  1, 130, WPA2, CCMP, PSK,-76.0,1.0,1.0,   0.  0.  0.  0,11.0, VTR-0795604, 
D0:F3:F5:CA:E9:9D, 2023-11-07 14:13:55, 2023-11-07 14:32:11,  6, 270, WPA2, CCMP, PSK,-80.0,5.0,0.0,   0.  0.  0.  0,0.0, , 
E0:00:84:E6:F8:08, 2023-11-07 14:13:58, 2023-11-07 14:26:35,  4, 130, WPA2 WPA, CCMP, PSK,-81.0,4.0,0.0,   0.  0.  0.  0,16.0, HUAWEI-2.4G-hUvh, 
94:00:B0:19:43:30, 2023-11-07 14:14:23, 2023-11-07 14:38:24, 11, 130, WPA2 WPA, CCMP, PSK,-74.0,137.0,0.0,   0.  0.  0.  0,8.0, ROCARO57, 
A4:6D:A4:45:98:D4, 2023-11-07 14:14:27, 2023-11-07 14:33:26,  1, 400, WPA2 WPA, CCMP, PSK,-77.0,9.0,1.0,   0.  0.  0.  0,9.0, Espindola, 
